Student,HS_GPA,Unit_Enrolled,Seminar_Attended,Dropped_out,Age,Gender,Registered_Status,Commuter_Student,Seminar_D,Dropped_Out_Dummy,Gender_Dummy,Registration_Status_Dummy,Commuter_Dummy
1,2.92,6,Yes,No,25,Male,Full-time,Yes,1,0,1,1,1
2,2.64,12,No,No,22,Male,Full-time,No,0,0,1,1,0
3,2.14,8,Yes,No,35,Female,Full-time,No,1,0,0,1,0
4,3.06,9,No,No,25,Female,Full-time,Yes,0,0,0,1,1
5,2.83,8,No,No,23,Male,Full-time,No,0,0,1,1,0
6,3.35,15,Yes,No,23,Male,Part-time,No,1,0,1,0,0
7,3.33,15,No,No,21,Male,Full-time,No,0,0,1,1,0
8,3.16,18,No,No,20,Male,Part-time,No,0,0,1,0,0
9,2.41,8,No,Yes,18,Male,Full-time,Yes,0,1,1,1,1
10,2.51,10,Yes,Yes,19,Female,Full-time,No,1,1,0,1,0
11,3.86,9,No,No,19,Male,Full-time,No,0,0,1,1,0
12,3.12,16,No,No,19,Female,Full-time,No,0,0,0,1,0
13,3.38,7,No,No,18,Male,Part-time,No,0,0,1,0,0
14,2.82,9,No,No,19,Female,Full-time,Yes,0,0,0,1,1
15,3.04,12,Yes,No,18,Female,Full-time,Yes,1,0,0,1,1
16,3.62,7,No,No,19,Female,Part-time,No,0,0,0,0,0
17,2.74,13,No,No,19,Male,Part-time,No,0,0,1,0,0
18,2.02,12,Yes,Yes,39,Female,Part-time,No,1,1,0,0,0
19,2.56,15,Yes,No,18,Female,Part-time,No,1,0,0,0,0
20,3.48,11,No,No,18,Male,Part-time,Yes,0,0,1,0,1
21,2.64,7,No,No,18,Male,Part-time,No,0,0,1,0,0
22,2.63,10,No,No,19,Female,Full-time,Yes,0,0,0,1,1
23,2.11,8,No,Yes,18,Female,Full-time,No,0,1,0,1,0
24,3.03,16,No,No,18,Female,Full-time,No,0,0,0,1,0
25,2.33,8,Yes,Yes,18,Male,Full-time,No,1,1,1,1,0
26,2.93,6,No,No,19,Male,Part-time,No,0,0,1,0,0
27,2.94,18,No,Yes,18,Male,Full-time,No,0,1,1,1,0
28,3.81,18,No,No,19,Male,Full-time,Yes,0,0,1,1,1
29,3.54,12,No,Yes,18,Male,Full-time,No,0,1,1,1,0
30,2.58,13,Yes,Yes,19,Male,Full-time,No,1,1,1,1,0
31,2.79,12,Yes,Yes,20,Male,Full-time,No,1,1,1,1,0
32,2.75,17,No,No,19,Male,Full-time,No,0,0,1,1,0
33,2.53,13,Yes,Yes,20,Female,Full-time,No,1,1,0,1,0
34,2.78,11,No,No,21,Female,Full-time,No,0,0,0,1,0
35,3.08,14,No,No,19,Male,Full-time,No,0,0,1,1,0
36,3.23,15,Yes,No,29,Male,Full-time,No,1,0,1,1,0
37,3.17,10,No,No,19,Male,Full-time,Yes,0,0,1,1,1
38,2.48,12,Yes,No,20,Male,Full-time,No,1,0,1,1,0
39,3.27,10,No,No,20,Female,Full-time,No,0,0,0,1,0
40,2.57,12,No,No,20,Male,Part-time,Yes,0,0,1,0,1
41,3.64,13,No,No,24,Female,Part-time,No,0,0,0,0,0
42,3.03,14,Yes,No,32,Female,Part-time,No,1,0,0,0,0
43,2.77,13,No,No,19,Male,Part-time,No,0,0,1,0,0
44,2.85,15,Yes,No,25,Female,Part-time,Yes,1,0,0,0,1
45,2.91,17,No,No,21,Male,Part-time,No,0,0,1,0,0
46,2.93,9,No,No,18,Female,Part-time,Yes,0,0,0,0,1
47,3.17,12,Yes,No,25,Female,Full-time,Yes,1,0,0,1,1
48,3.45,9,Yes,No,40,Female,Full-time,Yes,1,0,0,1,1
49,2.64,16,No,No,19,Male,Part-time,Yes,0,0,1,0,1
50,3.02,18,No,No,19,Female,Full-time,No,0,0,0,1,0
51,2.91,16,No,Yes,19,Female,Part-time,Yes,0,1,0,0,1
52,3.31,17,No,No,18,Female,Part-time,Yes,0,0,0,0,1
53,2.7,15,Yes,Yes,19,Female,Part-time,No,1,1,0,0,0
54,3.24,6,Yes,No,34,Female,Part-time,No,1,0,0,0,0
55,3.08,13,No,No,19,Male,Full-time,No,0,0,1,1,0
56,3.12,13,No,No,34,Female,Full-time,No,0,0,0,1,0
57,2.59,13,Yes,Yes,27,Male,Part-time,Yes,1,1,1,0,1
58,2.86,9,No,No,19,Female,Part-time,No,0,0,0,0,0
59,2.72,16,No,No,19,Male,Part-time,Yes,0,0,1,0,1
60,3.78,8,Yes,No,19,Female,Part-time,Yes,1,0,0,0,1
61,3.4,12,No,No,19,Female,Full-time,No,0,0,0,1,0
62,3.46,11,Yes,No,19,Female,Full-time,No,1,0,0,1,0
63,2.77,14,Yes,No,20,Female,Full-time,No,1,0,0,1,0
64,2.11,13,Yes,No,36,Female,Full-time,Yes,1,0,0,1,1
65,2.86,14,Yes,Yes,19,Female,Full-time,No,1,1,0,1,0
66,2.33,10,No,No,22,Male,Full-time,No,0,0,1,1,0
67,3.64,12,No,No,19,Female,Full-time,No,0,0,0,1,0
68,3.07,14,Yes,No,19,Female,Full-time,No,1,0,0,1,0
69,3.23,12,No,No,19,Male,Full-time,No,0,0,1,1,0
70,2.63,12,No,No,18,Male,Full-time,No,0,0,1,1,0
71,2.41,7,No,No,20,Female,Part-time,No,0,0,0,0,0
72,3.58,13,No,No,19,Male,Full-time,No,0,0,1,1,0
